"Creator id , Collab id , Created at , Submitted at , Question , Correct , Hint , Time Spent"
"5 , 0 , 10:06PM , 10:07PM , 10 , true ,  , -691176.0"
"1 , 0 , 05:02AM , 05:03AM , 2 , true ,  , -691190.0"
"5 , 0 , 09:55PM , 09:55PM , 2 , true ,  , -691172.0"
"5 , 0 , 09:56PM , 09:56PM , 3 , true ,  , -691182.0"
"5 , 0 , 09:57PM , 09:57PM , 4 , true ,  , -691188.0"
"5 , 0 , 10:07PM , 10:07PM , 15 , false ,  , -691192.0"
"5 , 0 , 09:58PM , 09:58PM , 5 , true ,  , -691179.0"
"5 , 0 , 09:58PM , 09:59PM , 6 , true ,  , -691175.0"
"5 , 0 , 09:59PM , 09:59PM , 6 , true ,  , -691168.0"
"5 , 0 , 10:00PM , 10:00PM , 15 , false ,  , -691191.0"
"5 , 0 , 10:00PM , 10:03PM , 15 , false ,  , -691055.0"
"5 , 0 , 10:03PM , 10:03PM , 15 , false ,  , -691192.0"
"5 , 0 , 10:03PM , 10:04PM , 15 , false ,  , -691146.0"
"5 , 0 , 10:04PM , 10:04PM , 15 , false ,  , -691165.0"
"5 , 0 , 10:04PM , 10:05PM , 7 , true ,  , -691186.0"
"5 , 0 , 10:05PM , 10:05PM , 8 , true ,  , -691191.0"
"5 , 0 , 10:05PM , 10:06PM , 9 , true ,  , -691150.0"
"5 , 0 , 10:06PM , 10:06PM , 10 , false ,  , -691186.0"
"6 , 0 , 10:30PM , 10:31PM , 4 , true ,  , -691113.0"
"6 , 0 , 10:25PM , 10:28PM , 2 , true ,  , -691011.0"
"6 , 0 , 10:29PM , 10:29PM , 3 , true ,  , -691150.0"
"6 , 0 , 10:32PM , 10:33PM , 6 , true ,  , -691164.0"
"6 , 0 , 10:32PM , 10:32PM , 5 , true ,  , -691172.0"
"6 , 0 , 10:33PM , 10:33PM , 7 , true ,  , -691179.0"
"6 , 0 , 10:34PM , 10:34PM , 8 , true ,  , -691190.0"
"6 , 0 , 10:34PM , 10:34PM , 9 , true ,  , -691163.0"
"6 , 0 , 10:35PM , 10:35PM , 10 , true ,  , -691188.0"
"6 , 0 , 10:35PM , 10:35PM , 11 , true ,  , -691192.0"
